Date,DAX,SPY,BAC,JNJ,AAPL,VWAGY
2017-07-31,12118.25,228.742096,22.026394,118.63488,35.347557,14.955264
2017-08-01,12251.290039,229.251907,22.327744,118.447151,35.661274,15.033726
2017-08-02,12181.480469,229.363159,22.455593,118.134285,37.346294,15.026593
2017-08-03,12154.719727,228.918228,22.25469,119.197983,36.973164,14.821642
2017-08-04,12297.719727,229.335373,22.802608,119.046043,37.168053,14.7603
2017-08-07,12257.169922,229.761719,22.793472,118.760002,37.743191,14.707992
2017-08-08,12292.049805,229.196304,22.738686,118.232628,38.045029,14.665195
2017-08-09,12154.0,229.187027,22.592571,119.090744,38.277931,14.517781
2017-08-10,12014.299805,225.951981,22.026394,118.965591,37.058712,14.337081
2017-08-11,12014.05957,226.28569,21.788956,118.974548,37.574085,14.455962
2017-08-14,12165.120117,228.528885,22.300352,119.314201,38.139553,14.669949
2017-08-15,12177.040039,228.501099,22.346008,119.224823,38.557091,14.698481
2017-08-16,12263.860352,228.899643,22.090315,119.930977,38.402004,14.788831
2017-08-17,12203.459961,225.330933,21.588053,118.920898,37.664745,14.58911
2017-08-18,12165.19043,224.978745,21.569792,118.554405,37.578846,14.579599
2017-08-21,12065.990234,225.154816,21.35062,119.287392,37.509666,14.508271
2017-08-22,12229.339844,227.509262,21.761562,120.404716,38.122852,14.494005
2017-08-23,12174.299805,226.693558,21.697636,118.70636,38.170567,14.584354
2017-08-24,12180.830078,226.165176,21.770693,118.786797,38.001171,14.684214
2017-08-25,12167.94043,226.693558,21.706768,118.453964,38.141937,14.874425
2017-08-28,12123.469727,226.702866,21.66111,118.507965,38.526073,14.960019
2017-08-29,11945.879883,226.962357,21.533262,118.930763,38.869652,14.802145
2017-08-30,12002.469727,228.037628,21.90959,117.905266,38.97464,14.703236
2017-08-31,12055.839844,229.409485,21.927944,119.074677,39.129723,14.712747
2017-09-01,12142.639648,229.733932,22.111519,117.869263,39.141655,14.831628
2017-09-05,12123.709961,228.083954,21.39558,116.852768,38.671619,15.038482
2017-09-06,12214.540039,228.862564,21.487364,117.545441,38.63105,15.349949
2017-09-07,12296.629883,228.834763,21.083504,118.912758,38.475971,15.582957
2017-09-08,12303.980469,228.565994,21.010077,117.824272,37.848465,15.592468
2017-09-11,12475.240234,231.00386,21.441473,119.830307,38.533234,15.659042
2017-09-12,12524.769531,231.782501,21.983017,119.308563,38.380535,15.854006
2017-09-13,12553.570313,231.893707,22.33181,119.146637,38.091831,15.785056
2017-09-14,12540.450195,231.819534,22.249197,120.702881,37.764954,15.820719
2017-09-15,12518.80957,232.131592,22.377701,120.94577,38.146713,15.972889
2017-09-18,12559.389648,232.62532,22.671425,121.782364,37.858009,16.163097
2017-09-19,12561.790039,232.858246,22.818279,121.638435,37.872318,16.186874
2017-09-20,12569.169922,232.942032,23.001858,119.839279,37.237656,16.11079
2017-09-21,12600.030273,232.317932,23.093641,118.516953,36.598213,16.220161
2017-09-22,12592.349609,232.364517,22.965139,118.193115,36.240326,16.438902
2017-09-25,12594.80957,231.889404,22.726494,117.995209,35.920605,16.148832
2017-09-26,12605.200195,232.029144,22.772385,117.788307,36.538574,16.339043
2017-09-27,12657.410156,232.932755,23.323109,116.717834,36.798649,16.258202
2017-09-28,12704.650391,233.212204,23.359827,116.46595,36.57198,16.125057
2017-09-29,12828.860352,234.031982,23.25886,116.951714,36.772392,16.075125
